id,name,group,recorded_at,method_family,execution_backend,transport,model,reasoning_effort,fixed_config_id,step_exact,step_module_exact,all_correct,n,failed_outputs,status,eligible,fresh_end_to_end,semantic_parent,mechanism,metrics_path,fixed_config
R128,luna-gaia-v1,GAIA-smoke-30,2026-08-15T00:04:03+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,10,9,5,30,0,complete_scored,True,True,,v3_chronological_breakpoint_with_nested_owner_evidence_fragments,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v1-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R129,luna-gaia-v2.1,GAIA-smoke-30,2026-08-15T00:50:33+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,9,7,5,30,0,complete_scored,True,True,,recovery_aware_causal_state_ledger_with_short_execution_aliases,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2p1-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R130,luna-gaia-v3,GAIA-smoke-30,2026-08-15T01:15:40+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,11,8,6,30,0,complete_scored,True,True,,lane_ordered_chronology_with_immutable_step_checkpoint,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R131,luna-gaia-v3.1,GAIA-smoke-30,2026-08-15T01:37:47+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,14,11,9,30,0,complete_scored,True,True,,lane_ordered_chronology_with_step_checkpoint_and_external_exception_packet_fence,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p1-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R132,luna-gaia-v3.2,GAIA-smoke-30,2026-08-15T01:55:23+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,12,9,7,30,0,complete_scored,True,True,,lane_ordered_chronology_with_step_checkpoint_packet_fence_and_capability_admission_gate,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p2-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R133,luna-gaia-v3.3,GAIA-smoke-30,2026-08-15T02:13:50+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,12,10,6,30,0,complete_scored,True,True,,lane_ordered_chronology_with_step_checkpoint_packet_fence_and_strategy_identity_gate,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p3-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R134,luna-gaia-v3.4,GAIA-smoke-30,2026-08-15T02:43:06+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,16,10,7,30,0,complete_scored,True,True,,lane_ordered_chronology_with_validated_step_candidate_ledger_step_checkpoint_and_external_exception_packet_fence,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p4-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R135,luna-gaia-v3.5.1,GAIA-smoke-30,2026-08-15T03:37:32+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,15,9,6,30,0,complete_scored,True,True,,lane_ordered_chronology_with_validated_step_only_candidate_ledger_checkpoint_packet_fence_and_positive_immediate_subgoal_capability,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5p1-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R136,luna-gaia-v3.6,GAIA-smoke-30,2026-08-15T04:02:49+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,15,13,10,30,0,complete_scored,True,True,,lane_ordered_chronology_with_step_only_candidate_ledger_checkpoint_packet_fence_positive_capability_and_action_materiality,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p6-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R137,luna-gaia-v3.7.1,GAIA-smoke-30,2026-08-15T11:37:58+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,13,11,8,30,0,complete_scored,True,True,,lane_ordered_chronology_with_precommit_step_ledger_checkpoint_packet_fence_positive_capability_action_materiality_and_orthogonal_same_route_strategy_state,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7p1-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
