trajectory_id,environment,source_llm,method,status,failure_stage,failure_code,gold_step,gold_event_id,gold_raw_module,gold_module,gold_raw_error_type,gold_error_type,predicted_step,judge_reported_step,predicted_event_id,predicted_module,predicted_error_type,step_exact,step_module_exact,all_correct,specialist_finding_count,latency_seconds,cache_hit,model,temperature,prompt_version,trajectory_sha256
GPT-4o_001_memory_b000_t00_e00-7743eba0,gaia,GPT-4o,agent_judge,success,,,5,agent_error_bench:d7aced8a54d45911:message:10,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:d7aced8a54d45911:message:4,planning,impossible_action,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,d7aced8a54d459118aae7cf0fdd327f752de1e6ca2f41eb5648617c08cf2ed9d
GPT-4o_002_memory_b000_t00_e01-7ab08a46,gaia,GPT-4o,agent_judge,success,,,3,agent_error_bench:5c7916dc1eef89e0:message:6,action,action,misalignment,misalignment,4,4,agent_error_bench:5c7916dc1eef89e0:message:8,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,5c7916dc1eef89e0b77a7ce53ded886c6e26252a51c98d57939f38b01d962756
GPT-4o_003_memory_b000_t00_e03-21a3a421,gaia,GPT-4o,agent_judge,success,,,3,,planning,planning,inefficient_plan,inefficient_plan,1,1,agent_error_bench:5cbb0e303ed08051:message:2,planning,constraint_ignorance,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,5cbb0e303ed080519a37bb8132ff58c71b76289551de157b412ea3dfde1299b3
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,gaia,GPT-4o,agent_judge,success,,,1,agent_error_bench:285837423e8e4e3e:message:2,planning,planning,constraint_ignorance,constraint_ignorance,1,1,agent_error_bench:285837423e8e4e3e:message:2,planning,constraint_ignorance,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,285837423e8e4e3ebd92bd8091441d24b54a28bbe134bd5a127e68db47936622
GPT-4o_005_memory_b000_t00_e05-c9015705,gaia,GPT-4o,agent_judge,success,,,1,agent_error_bench:3f89cff67faf6751:message:2,planning,planning,inefficient_plan,inefficient_plan,3,3,agent_error_bench:3f89cff67faf6751:message:6,reflection,outcome_misinterpretation,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,3f89cff67faf6751fa1879fdb1d810ad0dea0436fc8c9ccb20ae4e299cf87ea0
GPT-4o_006_memory_b000_t00_e06-71f77595,gaia,GPT-4o,agent_judge,success,,,3,agent_error_bench:b05f656093dfa079:message:6,memory,memory,over_simplification,over_simplification,5,5,agent_error_bench:b05f656093dfa079:message:10,system,tool_execution_error,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,b05f656093dfa079860b7efed85640a6cf7a0ba2d1e383e740d39ead78b66bc4
GPT-4o_007_memory_b000_t00_e08-f572f2ad,gaia,GPT-4o,agent_judge,success,,,2,agent_error_bench:9f9779b25916d6e6:message:4,memory,memory,over_simplification,over_simplification,4,4,agent_error_bench:9f9779b25916d6e6:message:8,reflection,outcome_misinterpretation,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,9f9779b25916d6e63f368db68bd53e192faf14e011c275bf445e4fc3a99bc1a6
GPT-4o_008_memory_b000_t00_e09-f0557a9f,gaia,GPT-4o,agent_judge,success,,,5,agent_error_bench:62dff2ae693f7f3c:message:10,planning,planning,impossible_action,impossible_action,5,5,agent_error_bench:62dff2ae693f7f3c:message:10,planning,impossible_action,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,62dff2ae693f7f3c4f0957d5f5a1cc6b312a88945116af59ccf2e654b53f3973
GPT-4o_009_memory_b001_t00_e01-7ab08a46,gaia,GPT-4o,agent_judge,success,,,8,agent_error_bench:ab1dcd183799261e:message:16,planning,planning,inefficient_plan,inefficient_plan,10,10,agent_error_bench:ab1dcd183799261e:message:20,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,ab1dcd183799261e0506c0a101c01f55b0e784504c1225f121db7acf35ac4110
GPT-4o_010_memory_b001_t00_e02-8d639e26,gaia,GPT-4o,agent_judge,success,,,4,agent_error_bench:107bcc896e2a323f:message:8,planning,planning,impossible_action,impossible_action,2,2,agent_error_bench:107bcc896e2a323f:message:4,planning,impossible_action,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,107bcc896e2a323f04d37ede0269d35a5915149fc264f524494e823f3f3b07b0
