run_dir,status,merged_prediction_count,evidence,reason
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p100-gpt55-short-bound-access-audited-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p100-gpt55-short-bound-access-audited-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p100-gpt55-short-bound-access-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p101-gpt55-stage-local-access-validated-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p101-gpt55-stage-local-access-validated-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p101-gpt55-stage-local-access-validated-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p103-gpt55-native-initial-probe-veto-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p103-gpt55-native-initial-probe-veto-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p103-gpt55-native-initial-probe-veto-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p90-gpt55-outcome-conditioned-predicate-handoff-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p90-gpt55-outcome-conditioned-predicate-handoff-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p90-gpt55-outcome-conditioned-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p91-gpt55-file-inspected-predicate-handoff-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p91-gpt55-file-inspected-predicate-handoff-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p91-gpt55-file-inspected-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p92-gpt55-singleton-safe-file-inspected-predicate-handoff-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p92-gpt55-singleton-safe-file-inspected-predicate-handoff-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p92-gpt55-singleton-safe-file-inspected-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p93-gpt55-audited-no-bwrap-predicate-handoff-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p93-gpt55-audited-no-bwrap-predicate-handoff-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p93-gpt55-audited-no-bwrap-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p94-gpt55-response-only-audited-no-bwrap-predicate-handoff-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p94-gpt55-response-only-audited-no-bwrap-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p95-gpt55-dual-stage-response-only-audited-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p95-gpt55-dual-stage-response-only-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p96-gpt55-normalized-access-audited-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p96-gpt55-normalized-access-audited-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p96-gpt55-normalized-access-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p97-gpt55-python3-bounded-access-audited-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p97-gpt55-python3-bounded-access-audited-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p97-gpt55-python3-bounded-access-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p98-gpt55-stage-bounded-access-audited-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p98-gpt55-stage-bounded-access-audited-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p98-gpt55-stage-bounded-access-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p99-gpt55-cwd-robust-access-audited-tournament-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p99-gpt55-cwd-robust-access-audited-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p99-gpt55-cwd-robust-access-audited-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-medium-gaia-paper-v1-agent-judge-official-repo-topology-sdk-v1-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-medium-gaia-paper-v1-agent-judge-official-repo-topology-sdk-v1-case50/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-medium-gaia-paper-v1-agent-judge-official-repo-topology-sdk-v2-phase2-resample-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-medium-gaia-paper-v1-agent-judge-official-repo-topology-sdk-v2-phase2-resample-case50/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-medium-official-v3-transport-recovery64-case64,no_frozen_score,64,"[""output/agenterrorbench-codex-gpt-5.5-medium-official-v3-transport-recovery64-case64/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.5-medium-rest150-agent-judge-official-repo-topology-sdk-v3-native-taxonomy-bridge-case150,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.5-medium-rest150-agent-judge-official-repo-topology-sdk-v3-native-taxonomy-bridge-case150/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p45-clean-v3p20-anchor-preserving-independent-typed-challenger-panel-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p45-clean-v3p20-anchor-preserving-independent-typed-challenger-panel-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p45-clean-v3p20-anchor-preserving-independent-typed-challenger-panel-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p46-clean-v3p20-module-complete-local-error-profile-causal-promotion-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p46-clean-v3p20-module-complete-local-error-profile-causal-promotion-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p53-clean-v3p20-step-isolated-paper-local-global-challenger-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p53-clean-v3p20-step-isolated-paper-local-global-challenger-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p55-clean-v3p20-step-isolated-class-stratified-anchor-selector-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p55-clean-v3p20-step-isolated-class-stratified-anchor-selector-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p58-clean-v3p20-step-isolated-module-reservoir-pairwise-observed-continuation-reducer-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p58-clean-v3p20-step-isolated-module-reservoir-pairwise-observed-continuation-reducer-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p58-clean-v3p20-step-isolated-module-reservoir-pairwise-observed-continuation-reducer-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
